gender,age,years_experience,university_rank,skills_score,hired
Male,38,10,Low,65,1
Female,30,7,Low,57,0
Male,54,9,Low,50,1
Male,41,6,Mid,93,1
Male,34,2,Mid,54,1
Male,49,2,Top10,52,1
Male,50,17,Top10,50,1
Female,34,4,Low,53,0
Male,27,11,Mid,89,1
Male,39,11,Low,84,1
Male,26,18,Mid,81,1
Female,46,5,Low,91,0
Female,23,1,Low,83,1
Male,31,11,Low,92,1
Male,51,18,Top10,74,0
Male,26,4,Top10,59,0
Male,54,11,Top10,70,0
Male,22,16,Low,95,0
Male,39,16,Mid,88,1
Male,53,9,Mid,76,0
Male,32,16,Low,76,1
Male,42,14,Low,51,1
Male,47,11,Mid,90,0
Male,46,15,Low,97,0
Male,43,18,Mid,62,1
Female,48,7,Low,58,0
Male,34,16,Mid,85,0
Male,54,4,Top10,71,1
Male,22,15,Mid,91,1
Male,42,5,Low,75,1
Male,27,7,Top10,61,1
Male,49,17,Top10,66,1
Male,38,11,Mid,63,1
Female,26,14,Low,63,1
Female,52,8,Mid,83,0
Female,26,12,Mid,69,0
Male,24,14,Top10,60,1
Male,44,9,Top10,65,1
Male,31,15,Low,80,1
Male,31,6,Low,55,1
Male,40,16,Top10,68,1
Male,38,6,Low,86,1
Male,42,13,Mid,53,1
Female,35,14,Mid,96,0
Male,30,6,Mid,53,0
Male,22,8,Mid,69,0
Male,34,18,Mid,59,1
Male,25,15,Mid,73,1
Male,22,7,Top10,84,1
Male,53,17,Top10,75,1
Female,49,17,Top10,86,0
Female,52,19,Mid,87,1
Female,29,6,Top10,70,1
Female,47,2,Low,89,0
Male,24,17,Low,88,1
Female,33,9,Mid,70,0
Male,22,6,Mid,59,0
Male,26,16,Mid,87,1
Male,51,13,Low,95,0
Male,51,2,Top10,53,1
Male,38,11,Mid,94,1
Male,44,12,Low,69,0
Female,36,1,Low,66,0
Male,42,2,Mid,56,1
Male,35,4,Mid,53,1
Male,23,10,Mid,78,1
Male,32,7,Low,63,0
Female,39,11,Top10,52,0
Male,51,6,Top10,73,0
Female,36,14,Mid,86,0
Female,48,16,Low,65,1
Male,54,3,Mid,53,1
Male,45,12,Mid,73,1
Female,36,17,Low,83,0
Male,51,0,Mid,79,0
Male,38,15,Mid,67,0
Female,26,12,Top10,68,0
Male,50,9,Mid,80,0
Male,25,11,Low,68,1
Male,31,1,Top10,98,1
Female,38,2,Low,95,0
Male,31,9,Mid,68,0
Male,38,1,Low,71,1
